"filename", "language", "PHP", "XML", "CSS", "comment", "blank", "total"
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Controllers\AppointmentController.php", "PHP", 11, 0, 0, 0, 6, 17
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Controllers\adminController.php", "PHP", 12, 0, 0, 0, 7, 19
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Controllers\guestController.php", "PHP", 1, 0, 0, 0, -1, 0
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Models\Appointment.php", "PHP", 8, 0, 0, 0, 4, 12
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\View\Components\admin-navbar.php", "PHP", 15, 0, 0, 7, 5, 27
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\View\Components\admin-sidebar.php", "PHP", 15, 0, 0, 6, 10, 31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\View\Components\statsTab.php", "PHP", 19, 0, 0, 6, 5, 30
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_06_03_185811_create_admins_table.php", "PHP", 21, 0, 0, 6, 4, 31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\css\admin.css", "CSS", 0, 0, 309, 8, 49, 366
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\css\guest.css", "CSS", 0, 0, 73, 0, 15, 88
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\images\loginIll.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\admin\appointments.blade.php", "PHP", 3, 0, 0, 0, 4, 7
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\admin\dashboard.blade.php", "PHP", 25, 0, 0, 0, 14, 39
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\admin\login.blade.php", "PHP", 38, 0, 0, 0, 4, 42
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\coaching.blade.php", "PHP", 9, 0, 0, 0, 4, 13
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\admin-navbar.blade.php", "PHP", 33, 0, 0, 0, 5, 38
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\admin-sidebar.blade.php", "PHP", 65, 0, 0, 0, 15, 80
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\navbar.blade.php", "PHP", -11, 0, 0, 0, -2, -13
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\stats-tab.blade.php", "PHP", 14, 0, 0, 0, 3, 17
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\layouts\admin.blade.php", "PHP", 31, 0, 0, 0, 3, 34
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\services.blade.php", "PHP", 7, 0, 0, 0, -1, 6
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\routes\web.php", "PHP", 5, 0, 0, 2, 4, 11
"Total", "-", 321, 1, 382, 35, 157, 896
